loan_id,customer_id,age,gender,region,employment_type,loan_purpose,loan_amount,term_months,interest_rate,annual_income,issue_date,earliest_credit_line,fico_score,num_delinquencies_2yrs,open_credit_lines,revolving_utilization_pct,overdraft_count_6m,cashflow_volatility_score,monthly_installment,handled_by_employee_id,off_hours_access_flag,bulk_download_flag,loan_status,credit_history_months,dti_ratio,lti_ratio,fico_bucket,loan_status_group,default_flag,liquidity_proxy,cost_to_income_proxy
LN100017,CUST20017,43,Male,North,Salaried,Personal,60100.0,60,8.0,463500.0,2024-10-26,2015-07-09,792,1,11,17.96,0,4811.05,1218.61,EMP1064,0,0,Current,112,0.0315,0.1297,Very Good,Good,0,0.8204,0.027999999999999997
LN100018,CUST20018,30,Female,South,Retired,Home,50000.0,48,9.68,554800.0,2022-01-18,2017-10-01,680,0,8,37.75,0,2620.61,1260.46,EMP1025,0,0,Current,52,0.0273,0.0901,Good,Good,0,0.6225,0.03387999999999999
LN100019,CUST20019,24,Female,West,Salaried,Personal,80300.0,24,14.09,504400.0,2022-08-22,2019-05-22,637,1,8,19.04,3,4390.98,3858.85,EMP1056,0,0,Current,39,0.0918,0.1592,Fair,Good,0,0.8096,0.049315
LN100020,CUST20020,56,Male,West,Salaried,Credit Card Refinance,50000.0,60,12.32,446900.0,2022-09-08,2019-09-14,699,1,5,32.07,0,3273.6,1120.32,EMP1031,0,0,Current,36,0.0301,0.1119,Good,Good,0,0.6793,0.04312
LN100021,CUST20021,37,Female,West,Salaried,Business,50000.0,36,10.86,283000.0,2026-04-25,2023-03-10,633,1,6,39.57,0,3733.43,1633.62,EMP1093,0,0,Current,38,0.0693,0.1767,Fair,Good,0,0.6043000000000001,0.038009999999999995
LN100022,CUST20022,40,Male,West,Self-Employed,Personal,50000.0,36,16.95,339000.0,2025-07-11,2018-12-06,644,2,6,53.11,0,1696.12,1781.39,EMP1064,0,0,Current,79,0.0631,0.1475,Fair,Good,0,0.4689,0.05932499999999999
LN100023,CUST20023,24,Male,West,Salaried,Personal,50000.0,12,8.55,150000.0,2022-12-16,2021-12-04,667,0,10,40.43,3,23.03,4362.15,EMP1115,0,0,Fully Paid,12,0.349,0.3333,Fair,Good,0,0.5957,0.029925
LN100024,CUST20024,34,Female,West,Salaried,Home,50000.0,240,11.03,721900.0,2023-09-11,2021-07-07,705,1,6,23.82,1,4211.32,517.12,EMP1113,0,0,Current,26,0.0086,0.0693,Good,Good,0,0.7618,0.038604999999999993
LN100025,CUST20025,41,Male,South,Salaried,Home,50000.0,84,13.07,270000.0,2023-08-13,2013-09-07,571,0,6,18.65,1,959.13,911.5,EMP1013,0,0,Current,119,0.0405,0.1852,Poor,Good,0,0.8135,0.045745
LN100026,CUST20026,27,Male,Central,Business Owner,Auto,53700.0,36,8.71,385800.0,2026-05-06,2021-11-17,548,0,3,59.4,3,999.33,1700.41,EMP1005,0,0,Current,54,0.0529,0.1392,Poor,Good,0,0.406,0.030485
LN100027,CUST20027,44,Male,East,Salaried,Personal,50000.0,180,13.13,508500.0,2024-04-10,2018-04-11,624,0,2,68.49,1,3697.68,636.9,EMP1037,0,0,Current,72,0.015,0.0983,Fair,Good,0,0.31510000000000005,0.045954999999999996
LN100028,CUST20028,33,Male,North,Salaried,Education,50000.0,180,14.94,325000.0,2022-08-10,2014-11-25,713,0,3,62.12,1,828.03,697.74,EMP1050,0,0,Current,92,0.0258,0.1538,Good,Good,0,0.3788,0.052289999999999996
LN100029,CUST20029,36,Male,South,Salaried,Personal,50000.0,120,11.13,245300.0,2023-03-15,2021-06-14,597,0,6,68.69,2,4687.53,692.43,EMP1108,0,0,Current,21,0.0339,0.2038,Fair,Good,0,0.31310000000000004,0.038955000000000004
LN100030,CUST20030,33,Male,West,Salaried,Home,50000.0,60,9.31,509300.0,2023-08-23,2018-06-20,799,0,13,75.36,0,1521.23,1045.46,EMP1036,1,0,Current,62,0.0246,0.0982,Very Good,Good,0,0.24639999999999995,0.032584999999999996
LN100031,CUST20031,60,Male,Central,Salaried,Personal,50000.0,36,10.5,165900.0,2023-01-16,2007-04-19,735,0,2,28.91,0,2167.59,1625.12,EMP1056,0,0,Current,189,0.1175,0.3014,Good,Good,0,0.7109,0.03675
LN100032,CUST20032,39,Male,North,Salaried,Home,59400.0,48,6.5,674500.0,2022-04-17,2014-10-27,723,1,3,11.75,1,3005.29,1408.67,EMP1012,0,0,Current,90,0.0251,0.0881,Good,Good,0,0.8825000000000001,0.02275
LN100033,CUST20033,28,Male,North,Self-Employed,Business,50000.0,48,14.72,636200.0,2022-04-20,2017-10-07,735,0,8,46.55,1,4391.38,1384.45,EMP1034,0,0,Fully Paid,54,0.0261,0.0786,Good,Good,0,0.5345,0.051519999999999996
LN100034,CUST20034,49,Male,Central,Salaried,Home,75200.0,180,12.35,327000.0,2024-03-16,2019-06-15,707,0,10,21.44,0,2342.33,919.53,EMP1107,0,0,Current,57,0.0337,0.23,Good,Good,0,0.7856,0.043225
LN100035,CUST20035,26,Male,Central,Self-Employed,Personal,50000.0,84,10.94,337200.0,2024-12-04,2005-03-25,712,2,2,29.03,1,1537.9,854.55,EMP1078,0,0,Fully Paid,236,0.0304,0.1483,Good,Good,0,0.7097,0.03829
LN100036,CUST20036,42,Female,South,Self-Employed,Education,50000.0,36,6.5,257000.0,2024-08-22,2020-10-28,760,0,2,39.64,1,3289.06,1532.45,EMP1119,0,0,Fully Paid,46,0.0716,0.1946,Very Good,Good,0,0.6035999999999999,0.02275
LN100037,CUST20037,21,Male,South,Salaried,Auto,50000.0,60,15.05,358500.0,2023-11-22,2005-09-13,745,0,5,24.1,0,526.93,1190.81,EMP1115,0,0,Fully Paid,218,0.0399,0.1395,Very Good,Good,0,0.759,0.05267499999999999
LN100038,CUST20038,25,Female,West,Self-Employed,Home,50000.0,60,10.1,396100.0,2025-12-25,2023-06-16,699,0,9,12.84,0,5297.05,1064.81,EMP1031,0,0,Current,30,0.0323,0.1262,Good,Good,0,0.8716,0.03534999999999999
LN100039,CUST20039,42,Female,South,Self-Employed,Personal,50000.0,120,13.31,371300.0,2023-07-21,2005-12-13,805,1,6,21.98,1,3904.47,755.72,EMP1013,0,0,Current,211,0.0244,0.1347,Excellent,Good,0,0.7802,0.046584999999999994
LN100040,CUST20040,48,Female,Central,Self-Employed,Home,50000.0,12,11.46,981400.0,2024-03-21,2013-08-06,685,0,4,12.82,1,830.88,4429.82,EMP1086,0,0,Current,127,0.0542,0.0509,Good,Good,0,0.8718,0.04011
LN100041,CUST20041,41,Male,North,Self-Employed,Personal,50000.0,84,6.5,169100.0,2022-09-27,2010-03-08,650,0,8,47.99,0,8067.1,742.47,EMP1015,0,1,Current,151,0.0527,0.2957,Fair,Good,0,0.5201,0.02275
LN100042,CUST20042,38,Male,North,Self-Employed,Business,50000.0,36,15.56,268500.0,2025-02-02,2019-06-04,583,1,2,77.87,1,2110.24,1747.01,EMP1026,0,0,Current,68,0.0781,0.1862,Fair,Good,0,0.22129999999999994,0.05446
LN100043,CUST20043,36,Male,North,Salaried,Auto,50000.0,24,14.95,661500.0,2026-02-04,2008-01-14,633,1,7,65.09,0,2398.38,2423.14,EMP1015,0,0,Current,217,0.044,0.0756,Fair,Good,0,0.34909999999999997,0.052324999999999997
LN100044,CUST20044,23,Female,South,Self-Employed,Personal,50000.0,84,13.94,1369800.0,2022-01-30,2009-12-08,758,1,7,18.35,1,7979.06,935.34,EMP1061,0,0,Fully Paid,146,0.0082,0.0365,Very Good,Good,0,0.8165,0.04878999999999999
LN100045,CUST20045,32,Male,North,Salaried,Credit Card Refinance,59400.0,36,12.51,275100.0,2026-02-01,2012-04-05,677,0,5,16.9,1,2568.03,1987.43,EMP1046,0,0,Current,166,0.0867,0.2159,Good,Good,0,0.831,0.04378499999999999
LN100046,CUST20046,34,Female,North,Self-Employed,Personal,50000.0,84,7.67,771900.0,2021-12-03,2010-05-09,711,0,2,57.36,0,2565.9,771.12,EMP1114,0,1,Current,139,0.012,0.0648,Good,Good,0,0.4264,0.026845
LN100047,CUST20047,51,Female,West,Salaried,Credit Card Refinance,50000.0,24,14.28,235000.0,2024-01-03,2020-08-18,685,0,3,44.41,0,2064.18,2407.26,EMP1092,0,0,Fully Paid,41,0.1229,0.2128,Good,Good,0,0.5559000000000001,0.04997999999999999
LN100048,CUST20048,43,Male,North,Business Owner,Home,50000.0,240,18.56,357100.0,2026-02-22,2009-04-08,601,0,6,39.38,0,3260.63,793.27,EMP1104,0,0,Current,202,0.0267,0.14,Fair,Good,0,0.6062,0.06495999999999999
LN100049,CUST20049,21,Male,Central,Salaried,Education,50000.0,120,11.87,444900.0,2025-10-22,2021-04-28,661,0,4,45.03,0,2460.49,713.6,EMP1048,0,0,Current,54,0.0192,0.1124,Fair,Good,0,0.5497,0.04154499999999999
LN100050,CUST20050,43,Female,South,Self-Employed,Education,80100.0,36,11.93,302600.0,2023-11-01,2017-04-17,625,0,7,48.0,1,6403.7,2657.79,EMP1017,0,0,Current,78,0.1054,0.2647,Fair,Good,0,0.52,0.041755
LN100051,CUST20051,35,Male,West,Self-Employed,Business,50000.0,84,7.97,351300.0,2026-05-05,2012-08-18,651,1,3,38.02,0,986.94,778.56,EMP1028,0,0,Current,165,0.0266,0.1423,Fair,Good,0,0.6197999999999999,0.027894999999999996
LN100052,CUST20052,32,Male,South,Business Owner,Home,50000.0,24,6.5,209000.0,2021-12-25,2019-03-19,622,0,3,19.87,1,4404.57,2227.31,EMP1041,0,0,Fully Paid,33,0.1279,0.2392,Fair,Good,0,0.8013,0.02275
LN100053,CUST20053,46,Female,South,Self-Employed,Auto,50000.0,60,10.35,641000.0,2022-07-23,2003-11-02,711,1,4,35.23,2,3654.61,1070.98,EMP1048,0,0,Fully Paid,225,0.02,0.078,Good,Good,0,0.6477,0.03622499999999999
LN100054,CUST20054,51,Male,East,Salaried,Home,50000.0,12,16.24,270000.0,2023-12-21,2020-08-13,732,0,7,45.21,0,3433.49,4542.22,EMP1059,0,0,Fully Paid,40,0.2019,0.1852,Good,Good,0,0.5479,0.056839999999999995
LN100055,CUST20055,50,Female,East,Business Owner,Credit Card Refinance,50000.0,36,15.8,307100.0,2021-12-05,2008-04-06,682,0,4,29.66,0,6213.19,1752.92,EMP1008,0,0,Current,164,0.0685,0.1628,Good,Good,0,0.7034,0.055299999999999995
LN100056,CUST20056,30,Female,West,Self-Employed,Personal,50000.0,240,11.29,287800.0,2025-02-27,2012-02-07,550,0,4,37.64,1,1047.01,526.0,EMP1088,0,0,Current,157,0.0219,0.1737,Poor,Good,0,0.6235999999999999,0.039514999999999995
LN100057,CUST20057,36,Female,West,Self-Employed,Credit Card Refinance,50000.0,24,12.88,296300.0,2022-04-13,2008-01-12,592,0,4,38.17,0,2118.07,2374.27,EMP1018,0,0,Current,171,0.0962,0.1687,Fair,Good,0,0.6183,0.045079999999999995
LN100058,CUST20058,43,Male,West,Business Owner,Auto,50000.0,60,7.6,479000.0,2022-07-07,2013-04-15,721,1,4,30.91,0,6996.41,1004.28,EMP1116,0,0,Fully Paid,111,0.0252,0.1044,Good,Good,0,0.6909000000000001,0.0266
LN100059,CUST20059,50,Male,South,Salaried,Home,50000.0,12,11.86,457900.0,2023-08-07,2015-05-05,630,0,7,32.94,1,2910.18,4439.17,EMP1004,0,0,Current,99,0.1163,0.1092,Fair,Good,0,0.6706000000000001,0.04151
LN100060,CUST20060,34,Male,Central,Salaried,Auto,50000.0,60,9.82,1767800.0,2024-11-14,2005-04-23,630,0,1,17.75,0,3036.9,1057.93,EMP1059,0,0,Current,235,0.0072,0.0283,Fair,Good,0,0.8225,0.03437
LN100061,CUST20061,37,Male,East,Salaried,Personal,50000.0,36,11.67,386600.0,2023-09-17,2007-03-14,684,0,7,56.53,1,3246.34,1652.85,EMP1065,0,0,Fully Paid,198,0.0513,0.1293,Good,Good,0,0.4347,0.040845
LN100062,CUST20062,27,Male,Central,Self-Employed,Business,50000.0,36,10.62,418600.0,2021-10-11,2011-07-25,628,1,5,41.18,1,1395.01,1627.95,EMP1086,0,0,Current,123,0.0467,0.1194,Fair,Good,0,0.5882000000000001,0.037169999999999995
LN100063,CUST20063,26,Male,West,Salaried,Auto,50000.0,36,10.56,923000.0,2026-01-03,2021-07-19,542,0,6,4.68,1,7774.22,1626.54,EMP1089,0,1,Current,54,0.0211,0.0542,Poor,Good,0,0.9532,0.03696
LN100064,CUST20064,48,Male,North,Self-Employed,Credit Card Refinance,50000.0,24,14.69,500700.0,2025-06-11,2007-07-16,619,1,4,64.28,2,5358.99,2416.97,EMP1002,0,0,Current,215,0.0579,0.0999,Fair,Good,0,0.35719999999999996,0.051414999999999995
LN100065,CUST20065,54,Male,South,Salaried,Auto,50000.0,180,17.78,419000.0,2023-04-19,2009-12-24,653,0,6,49.72,0,2999.88,797.31,EMP1092,0,0,Current,160,0.0228,0.1193,Fair,Good,0,0.5028,0.06223
LN100066,CUST20066,39,Female,East,Self-Employed,Education,103500.0,180,10.96,411100.0,2023-02-17,2019-07-22,643,1,1,59.74,2,3002.47,1173.78,EMP1098,0,0,Fully Paid,43,0.0343,0.2518,Fair,Good,0,0.40259999999999996,0.03836
LN100067,CUST20067,51,Male,West,Business Owner,Education,50000.0,120,16.04,492200.0,2025-08-14,2021-02-22,725,3,6,13.37,0,2575.58,838.81,EMP1013,0,0,Fully Paid,54,0.0205,0.1016,Good,Good,0,0.8663000000000001,0.05613999999999999
LN100068,CUST20068,43,Male,East,Salaried,Auto,50000.0,24,7.53,756200.0,2022-07-05,2011-03-30,685,0,4,35.98,1,1393.95,2250.66,EMP1102,0,0,Fully Paid,135,0.0357,0.0661,Good,Good,0,0.6402000000000001,0.026355
LN100069,CUST20069,32,Female,West,Self-Employed,Home,50000.0,36,11.2,927200.0,2021-12-01,2011-05-10,681,1,5,57.67,0,8867.99,1641.68,EMP1042,0,0,Fully Paid,127,0.0212,0.0539,Good,Good,0,0.4233,0.03919999999999999
LN100070,CUST20070,43,Female,South,Self-Employed,Auto,50000.0,60,7.35,780200.0,2026-01-11,2017-04-05,755,0,7,55.37,1,384.65,998.34,EMP1073,0,0,Fully Paid,105,0.0154,0.0641,Very Good,Good,0,0.44630000000000003,0.025724999999999998
LN100071,CUST20071,56,Male,North,Salaried,Home,50200.0,240,10.5,571900.0,2021-09-11,2012-08-04,578,0,4,14.71,2,4308.63,501.19,EMP1037,0,0,Current,109,0.0105,0.0878,Poor,Good,0,0.8529,0.03675
LN100072,CUST20072,39,Male,North,Salaried,Credit Card Refinance,50000.0,60,13.79,496800.0,2025-01-20,2020-10-14,781,0,1,33.21,0,6317.54,1157.98,EMP1058,0,0,Current,51,0.028,0.1006,Very Good,Good,0,0.6678999999999999,0.048264999999999995
LN100073,CUST20073,57,Male,East,Salaried,Credit Card Refinance,50000.0,36,15.08,1357300.0,2024-12-02,2019-01-27,787,1,2,36.98,0,3273.26,1735.23,EMP1105,0,0,Current,70,0.0153,0.0368,Very Good,Good,0,0.6302000000000001,0.052779999999999994
LN100074,CUST20074,21,Female,West,Self-Employed,Education,50000.0,120,9.01,340800.0,2026-03-14,2015-11-06,672,1,4,34.48,1,187.84,633.65,EMP1086,0,0,Current,124,0.0223,0.1467,Good,Good,0,0.6552,0.031535
LN100075,CUST20075,49,Female,South,Salaried,Education,50000.0,24,12.97,649500.0,2024-01-03,2021-10-19,654,1,5,33.8,2,1522.12,2376.39,EMP1068,0,0,Fully Paid,26,0.0439,0.077,Fair,Good,0,0.662,0.045395
LN100076,CUST20076,40,Female,East,Salaried,Auto,53700.0,120,15.44,843900.0,2021-10-16,2014-02-05,767,0,2,33.91,2,3033.34,880.89,EMP1032,0,0,Current,92,0.0125,0.0636,Very Good,Good,0,0.6609,0.05403999999999999
LN100077,CUST20077,36,Male,North,Salaried,Home,58800.0,240,14.98,785700.0,2025-08-21,2020-08-24,662,1,4,61.37,2,6555.32,773.4,EMP1093,0,0,Current,60,0.0118,0.0748,Fair,Good,0,0.3863,0.052430000000000004
LN100078,CUST20078,41,Male,North,Salaried,Business,50000.0,240,12.33,290900.0,2023-08-15,2019-04-22,702,1,6,20.48,0,3183.88,562.09,EMP1050,1,0,Current,52,0.0232,0.1719,Good,Good,0,0.7952,0.043155
LN100079,CUST20079,21,Male,West,Self-Employed,Personal,53000.0,24,9.61,2080900.0,2025-02-01,2021-04-22,698,1,6,63.84,0,7001.27,2436.15,EMP1055,0,0,Current,45,0.014,0.0255,Good,Good,0,0.3615999999999999,0.03363499999999999
LN100080,CUST20080,37,Female,South,Self-Employed,Education,102600.0,48,9.3,1108800.0,2026-04-30,2022-09-01,711,0,10,32.34,1,2969.38,2567.85,EMP1117,0,0,Current,44,0.0278,0.0925,Good,Good,0,0.6766,0.03255
LN100081,CUST20081,43,Female,West,Salaried,Business,61900.0,60,8.8,792500.0,2021-08-19,2017-08-03,608,0,7,56.08,3,5041.32,1278.94,EMP1005,0,0,Fully Paid,49,0.0194,0.0781,Fair,Good,0,0.43920000000000003,0.0308
LN100082,CUST20082,56,Female,West,Self-Employed,Personal,51300.0,24,11.4,254300.0,2022-12-12,2014-11-05,708,1,5,21.97,1,3516.22,2400.52,EMP1080,0,0,Current,97,0.1133,0.2017,Good,Good,0,0.7803,0.0399
LN100083,CUST20083,34,Male,Central,Self-Employed,Home,50000.0,48,8.87,758300.0,2022-11-08,2019-12-06,622,0,10,10.67,1,1094.78,1241.17,EMP1096,0,0,Current,35,0.0196,0.0659,Fair,Good,0,0.8933,0.031044999999999993
LN100084,CUST20084,31,Male,North,Salaried,Business,52800.0,60,13.67,150000.0,2023-03-16,2005-03-05,641,0,10,30.55,0,1749.35,1219.55,EMP1014,0,0,Fully Paid,216,0.0976,0.352,Fair,Good,0,0.6945,0.04784499999999999
LN100085,CUST20085,34,Male,East,Salaried,Personal,50000.0,36,12.23,389400.0,2025-09-20,2015-04-08,740,1,6,36.98,0,5052.75,1666.21,EMP1045,0,0,Fully Paid,125,0.0513,0.1284,Good,Good,0,0.6302000000000001,0.042805
LN100086,CUST20086,50,Female,West,Business Owner,Business,50000.0,36,12.09,469100.0,2025-06-01,2014-11-01,647,0,3,48.26,1,4068.11,1662.87,EMP1065,0,0,Current,127,0.0425,0.1066,Fair,Good,0,0.5174000000000001,0.042315
LN100087,CUST20087,43,Female,West,Self-Employed,Personal,65000.0,12,6.5,345600.0,2024-07-19,2019-07-18,638,0,2,35.58,1,2481.79,5609.27,EMP1013,0,0,Fully Paid,60,0.1948,0.1881,Fair,Good,0,0.6442,0.02275
LN100088,CUST20088,34,Male,West,Self-Employed,Home,50000.0,180,11.59,1056900.0,2021-08-05,2004-02-18,693,0,3,20.34,0,7787.33,586.96,EMP1022,0,0,Current,210,0.0067,0.0473,Good,Good,0,0.7966,0.040565
LN100089,CUST20089,45,Male,South,Salaried,Home,50000.0,120,10.03,468400.0,2023-02-27,2006-06-08,767,0,7,24.42,0,2198.68,661.58,EMP1014,0,0,Current,201,0.0169,0.1067,Very Good,Good,0,0.7558,0.035105
LN100090,CUST20090,41,Male,North,Business Owner,Education,50000.0,84,18.43,260800.0,2024-04-09,2022-08-16,836,1,1,24.34,1,2920.82,1063.53,EMP1113,1,0,Fully Paid,20,0.0489,0.1917,Excellent,Good,0,0.7565999999999999,0.06450499999999999
LN100091,CUST20091,50,Male,East,Self-Employed,Personal,50000.0,12,7.4,669500.0,2024-01-26,2009-03-01,754,1,5,18.14,0,4186.76,4335.56,EMP1085,0,0,Current,179,0.0777,0.0747,Very Good,Good,0,0.8186,0.025900000000000003
LN100092,CUST20092,32,Female,West,Business Owner,Personal,50000.0,60,10.84,550800.0,2021-12-12,2017-06-14,753,0,3,32.77,0,2439.77,1083.14,EMP1010,0,0,Current,54,0.0236,0.0908,Very Good,Good,0,0.6722999999999999,0.037939999999999995
LN100093,CUST20093,36,Male,South,Retired,Personal,50000.0,24,12.73,168700.0,2025-06-19,2013-12-01,678,1,7,10.41,0,2167.69,2370.76,EMP1045,0,0,Fully Paid,139,0.1686,0.2964,Good,Good,0,0.8959,0.044555
LN100094,CUST20094,35,Female,North,Retired,Personal,50000.0,60,8.39,923500.0,2024-11-11,2007-05-03,846,0,2,48.61,1,3581.28,1023.18,EMP1117,0,0,Fully Paid,210,0.0133,0.0541,Excellent,Good,0,0.5139,0.029365
LN100095,CUST20095,23,Female,West,Business Owner,Auto,52700.0,60,17.67,467800.0,2024-08-14,2005-11-20,692,0,10,24.74,1,3134.97,1328.79,EMP1055,0,0,Fully Paid,225,0.0341,0.1127,Good,Good,0,0.7526,0.061845000000000004
LN100096,CUST20096,43,Female,South,Salaried,Auto,50000.0,120,17.74,760600.0,2022-01-25,2017-07-26,677,0,2,53.96,1,615.13,892.57,EMP1098,0,0,Current,54,0.0141,0.0657,Good,Good,0,0.46040000000000003,0.062089999999999985
LN100097,CUST20097,42,Male,North,Business Owner,Auto,50000.0,36,8.75,554500.0,2022-08-27,2003-10-26,704,0,4,31.74,4,2903.73,1584.18,EMP1084,1,0,Current,226,0.0343,0.0902,Good,Good,0,0.6826000000000001,0.030624999999999996
LN100098,CUST20098,40,Female,North,Salaried,Auto,50000.0,12,9.61,367600.0,2023-07-22,2021-03-27,697,0,7,31.92,1,5439.41,4386.73,EMP1039,0,0,Fully Paid,28,0.1432,0.136,Good,Good,0,0.6808,0.03363499999999999
LN100099,CUST20099,37,Male,South,Business Owner,Personal,50000.0,180,18.37,558700.0,2024-11-21,2006-08-17,594,0,4,41.38,0,1112.88,818.56,EMP1051,1,0,Current,219,0.0176,0.0895,Fair,Good,0,0.5862,0.06429499999999999
LN100100,CUST20100,24,Male,East,Salaried,Home,129600.0,180,15.96,418600.0,2025-06-09,2009-10-10,634,1,9,75.89,2,5955.6,1899.82,EMP1096,0,0,Current,188,0.0545,0.3096,Fair,Good,0,0.24109999999999998,0.05586
LN100101,CUST20101,35,Male,South,Self-Employed,Auto,50000.0,48,10.32,519100.0,2024-10-24,2006-06-19,704,0,6,66.97,0,945.47,1275.83,EMP1010,0,0,Fully Paid,220,0.0295,0.0963,Good,Good,0,0.33030000000000004,0.03612
LN100102,CUST20102,36,Male,North,Salaried,Auto,50000.0,12,12.88,615800.0,2021-11-29,2013-12-17,628,1,7,44.1,0,3081.78,4463.05,EMP1037,0,0,Fully Paid,95,0.087,0.0812,Fair,Good,0,0.5589999999999999,0.045079999999999995
LN100103,CUST20103,31,Male,North,Self-Employed,Auto,50000.0,48,7.06,479600.0,2022-01-02,2003-02-22,722,0,2,38.48,2,211.77,1198.7,EMP1081,0,0,Fully Paid,226,0.03,0.1043,Good,Good,0,0.6152,0.024709999999999996
LN100104,CUST20104,38,Male,South,Salaried,Credit Card Refinance,50000.0,48,18.53,571400.0,2024-05-16,2007-11-01,682,2,2,6.53,1,1016.21,1482.63,EMP1016,0,0,Fully Paid,198,0.0311,0.0875,Good,Good,0,0.9347,0.06485500000000001
